"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0421095075169467,0.000389737478835773,108.045825212234,0
"weaveinterspersed",0.00124192699805947,0.000389737478835784,3.18657318195141,0.00145358421504146
"weavesd",0.0172390353162603,0.000389737478835764,44.2324288845847,0
"weavesetbased",0.0180594522305672,0.000389737478835759,46.3374789730646,0
"exposurenone",0.0552290054019256,0.000275586014167313,200.405690284396,0
"targetgoalinfo7",0.00217005992709849,0.000389737478835764,5.56800422063838,2.79013373471636e-08
"targetgoalinfo8",0.00624947339719881,0.000389737478835756,16.0350844775502,1.03062861971217e-55
"targetmaxinfo",0.0176859942260781,0.000389737478835758,45.3792493319106,0
