"","weave","exposure","target","replication","info"
"1","ds","bigm","goalinfo6","1",5.74910216095048
"2","ds","bigm","goalinfo6","10",5.76364301728374
"3","ds","bigm","goalinfo6","100",5.75953670865697
"4","ds","bigm","goalinfo6","11",5.75770285195569
"5","ds","bigm","goalinfo6","12",5.75109204467679
"6","ds","bigm","goalinfo6","13",5.72741395015361
"7","ds","bigm","goalinfo6","14",5.73900133089425
"8","ds","bigm","goalinfo6","15",5.75042552004842
"9","ds","bigm","goalinfo6","16",5.74744866287254
"10","ds","bigm","goalinfo6","17",5.75220792642239
"11","ds","bigm","goalinfo6","18",5.73828081211023
"12","ds","bigm","goalinfo6","19",5.75938744288992
"13","ds","bigm","goalinfo6","2",5.75441938273234
"14","ds","bigm","goalinfo6","20",5.73741853193173
"15","ds","bigm","goalinfo6","21",5.74536338710883
"16","ds","bigm","goalinfo6","22",5.75080547960343
"17","ds","bigm","goalinfo6","23",5.75636101758257
"18","ds","bigm","goalinfo6","24",5.74144171488836
"19","ds","bigm","goalinfo6","25",5.75519707955501
"20","ds","bigm","goalinfo6","26",5.74630840837006
"21","ds","bigm","goalinfo6","27",5.74975580093295
"22","ds","bigm","goalinfo6","28",5.74611638253882
"23","ds","bigm","goalinfo6","29",5.7523591647349
"24","ds","bigm","goalinfo6","3",5.74548321755888
"25","ds","bigm","goalinfo6","30",5.74610520739394
"26","ds","bigm","goalinfo6","31",5.7593351882828
"27","ds","bigm","goalinfo6","32",5.7494728883938
"28","ds","bigm","goalinfo6","33",5.74903774647507
"29","ds","bigm","goalinfo6","34",5.75878310588502
"30","ds","bigm","goalinfo6","35",5.74878614775091
"31","ds","bigm","goalinfo6","36",5.75429031104003
"32","ds","bigm","goalinfo6","37",5.75464624166967
"33","ds","bigm","goalinfo6","38",5.75030199340705
"34","ds","bigm","goalinfo6","39",5.74683015492257
"35","ds","bigm","goalinfo6","4",5.75937606688138
"36","ds","bigm","goalinfo6","40",5.76030747146779
"37","ds","bigm","goalinfo6","41",5.75500322673047
"38","ds","bigm","goalinfo6","42",5.74618889582824
"39","ds","bigm","goalinfo6","43",5.76250679021127
"40","ds","bigm","goalinfo6","44",5.74876773717795
"41","ds","bigm","goalinfo6","45",5.74970113585154
"42","ds","bigm","goalinfo6","46",5.75402158170758
"43","ds","bigm","goalinfo6","47",5.75418697798839
"44","ds","bigm","goalinfo6","48",5.75265860950114
"45","ds","bigm","goalinfo6","49",5.75765734918088
"46","ds","bigm","goalinfo6","5",5.74751942613259
"47","ds","bigm","goalinfo6","50",5.75086583573184
"48","ds","bigm","goalinfo6","51",5.74968063408431
"49","ds","bigm","goalinfo6","52",5.75036256583743
"50","ds","bigm","goalinfo6","53",5.74687949230924
"51","ds","bigm","goalinfo6","54",5.74742453553132
"52","ds","bigm","goalinfo6","55",5.74457899012402
"53","ds","bigm","goalinfo6","56",5.73764246040225
"54","ds","bigm","goalinfo6","57",5.73996841749067
"55","ds","bigm","goalinfo6","58",5.74067135085506
"56","ds","bigm","goalinfo6","59",5.74642997424508
"57","ds","bigm","goalinfo6","6",5.75678866439813
