"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.380671675237601,0.000311701398180674,1221.2703486718,0
"weaveinterspersed",-0.000196855494037215,0.000311701398180683,-0.631551527154537,0.527725192748535
"weavesd",0.000932316513117701,0.000311701398180667,2.99105656426127,0.00280139657253354
"weavesetbased",0.0103483430484741,0.000311701398180663,33.1995400369562,7.03924686731113e-208
"exposurenone",-0.00421112048727639,0.000220406172358874,-19.1061822008309,3.87769880450322e-77
"targetgoalinfo7",-0.0225837033807664,0.000311701398180667,-72.4530063470442,0
"targetgoalinfo8",-0.0391963255830103,0.000311701398180661,-125.749598210953,0
"targetmaxinfo",-0.0550657992377785,0.000311701398180662,-176.662021919653,0
