"","Group.1","mean","sd","min","max","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9"
"1","maxinfo",8.56233326250888,0.724542840217531,7.12819591229639,9.40777538859972,7.18196486517133,7.99064616293748,8.40987015802186,8.42307240337112,8.43480512589589,8.45178375016719,9.33329924087388,9.35191011181586,9.36668894558053
"2","goalinfo8",7.61100991224164,0.215904769582248,7.06679816760349,7.81119936918192,7.1276864472185,7.42957972223622,7.64235944437919,7.66320161523017,7.7030758566181,7.73439890186461,7.74504673783166,7.7679289575952,7.7835777652958
"3","goalinfo7",6.8107243998865,0.061867168534999,6.64413106381539,6.88999233856053,6.68991591667999,6.74246975679307,6.81319978123774,6.82518474933148,6.83413255460529,6.84183256333884,6.84937159760365,6.85917280309236,6.86783048582596
"4","goalinfo6",5.90818020594131,0.0361898729082686,5.819151156735,5.97685335996536,5.84419066599095,5.88094124861522,5.89097290188809,5.90731393130132,5.91622684260077,5.92272168688101,5.92879760549425,5.9406996627359,5.95098485090767
