"","weave","exposure","target","replication","info"
"1","ds","bigm","goalinfo6","1",5.90497025210207
"2","ds","bigm","goalinfo6","10",5.91089011577361
"3","ds","bigm","goalinfo6","100",5.91004990201746
"4","ds","bigm","goalinfo6","11",5.92333429044486
"5","ds","bigm","goalinfo6","12",5.9074986901244
"6","ds","bigm","goalinfo6","13",5.91091388186168
"7","ds","bigm","goalinfo6","14",5.90752310145337
"8","ds","bigm","goalinfo6","15",5.91550110118298
"9","ds","bigm","goalinfo6","16",5.91239609142669
"10","ds","bigm","goalinfo6","17",5.91405443185367
"11","ds","bigm","goalinfo6","18",5.93076689263768
"12","ds","bigm","goalinfo6","19",5.92181059748491
"13","ds","bigm","goalinfo6","2",5.91938407441554
"14","ds","bigm","goalinfo6","20",5.92037689013666
"15","ds","bigm","goalinfo6","21",5.91041587946398
"16","ds","bigm","goalinfo6","22",5.91871274446052
"17","ds","bigm","goalinfo6","23",5.91357867500895
"18","ds","bigm","goalinfo6","24",5.91140851568441
"19","ds","bigm","goalinfo6","25",5.91472012202318
"20","ds","bigm","goalinfo6","26",5.9220982367364
"21","ds","bigm","goalinfo6","27",5.90352961579165
"22","ds","bigm","goalinfo6","28",5.9168314562226
"23","ds","bigm","goalinfo6","29",5.90772320741325
"24","ds","bigm","goalinfo6","3",5.9189579306994
"25","ds","bigm","goalinfo6","30",5.90911404832265
"26","ds","bigm","goalinfo6","31",5.9242302356955
"27","ds","bigm","goalinfo6","32",5.91204708007187
"28","ds","bigm","goalinfo6","33",5.93097283175257
"29","ds","bigm","goalinfo6","34",5.91641563086748
"30","ds","bigm","goalinfo6","35",5.9089265948507
"31","ds","bigm","goalinfo6","36",5.91574610001141
"32","ds","bigm","goalinfo6","37",5.90610975904059
"33","ds","bigm","goalinfo6","38",5.91634387779861
"34","ds","bigm","goalinfo6","39",5.91313119980605
"35","ds","bigm","goalinfo6","4",5.92517573539137
"36","ds","bigm","goalinfo6","40",5.89866283885872
"37","ds","bigm","goalinfo6","41",5.91786668443774
"38","ds","bigm","goalinfo6","42",5.90728293443076
"39","ds","bigm","goalinfo6","43",5.92425774020015
"40","ds","bigm","goalinfo6","44",5.91548397568031
"41","ds","bigm","goalinfo6","45",5.9053951020835
"42","ds","bigm","goalinfo6","46",5.91255054169873
"43","ds","bigm","goalinfo6","47",5.90972194948198
"44","ds","bigm","goalinfo6","48",5.92311700153152
"45","ds","bigm","goalinfo6","49",5.90936094817553
"46","ds","bigm","goalinfo6","5",5.90884596482662
"47","ds","bigm","goalinfo6","50",5.92110468141847
"48","ds","bigm","goalinfo6","51",5.91434677145013
"49","ds","bigm","goalinfo6","52",5.91976003488633
"50","ds","bigm","goalinfo6","53",5.92237048221944
"51","ds","bigm","goalinfo6","54",5.90278933442299
"52","ds","bigm","goalinfo6","55",5.91863623752928
"53","ds","bigm","goalinfo6","56",5.91509072297706
"54","ds","bigm","goalinfo6","57",5.91187552572019
"55","ds","bigm","goalinfo6","58",5.91620692997369
"56","ds","bigm","goalinfo6","59",5.91624675522786
"57","ds","bigm","goalinfo6","6",5.91989973885206
"58","ds","bigm","goalinfo6","60",5.91420311377429
"59","ds","bigm","goalinfo6","61",5.90712646847129
"60","ds","bigm","goalinfo6","62",5.90619304762253
"61","ds","bigm","goalinfo6","63",5.91815207850966
"62","ds","bigm","goalinfo6","64",5.91686213009607
"63","ds","bigm","goalinfo6","65",5.91794227847298
"64","ds","bigm","goalinfo6","66",5.93123465613845
"65","ds","bigm","goalinfo6","67",5.92328657554171
"66","ds","bigm","goalinfo6","68",5.92288996927337
"67","ds","bigm","goalinfo6","69",5.91113629339732
"68","ds","bigm","goalinfo6","7",5.91863709138388
"69","ds","bigm","goalinfo6","70",5.92429834325869
"70","ds","bigm","goalinfo6","71",5.90501970576652
"71","ds","bigm","goalinfo6","72",5.92192258099326
"72","ds","bigm","goalinfo6","73",5.91969129361673
"73","ds","bigm","goalinfo6","74",5.91225560663307
"74","ds","bigm","goalinfo6","75",5.92964968770482
"75","ds","bigm","goalinfo6","76",5.91679378546615
"76","ds","bigm","goalinfo6","77",5.92461758097814
"77","ds","bigm","goalinfo6","78",5.91747101691761
"78","ds","bigm","goalinfo6","79",5.91222762216702
"79","ds","bigm","goalinfo6","8",5.91082825621503
"80","ds","bigm","goalinfo6","80",5.92289046332042
"81","ds","bigm","goalinfo6","81",5.91188759975318
"82","ds","bigm","goalinfo6","82",5.91696734201153
"83","ds","bigm","goalinfo6","83",5.90946630353227
"84","ds","bigm","goalinfo6","84",5.92260949861943
"85","ds","bigm","goalinfo6","85",5.91709469105258
"86","ds","bigm","goalinfo6","86",5.9209010598252
"87","ds","bigm","goalinfo6","87",5.91362884818746
"88","ds","bigm","goalinfo6","88",5.94273638857398
"89","ds","bigm","goalinfo6","89",5.91163932497716
"90","ds","bigm","goalinfo6","9",5.91922505502828
"91","ds","bigm","goalinfo6","90",5.92827246843812
"92","ds","bigm","goalinfo6","91",5.91396296290217
"93","ds","bigm","goalinfo6","92",5.91380412774988
"94","ds","bigm","goalinfo6","93",5.90733459588169
"95","ds","bigm","goalinfo6","94",5.91308309371132
"96","ds","bigm","goalinfo6","95",5.92572691793499
"97","ds","bigm","goalinfo6","96",5.92540553866852
"98","ds","bigm","goalinfo6","97",5.91554873795511
"99","ds","bigm","goalinfo6","98",5.91817633257801
"100","ds","bigm","goalinfo6","99",5.90559031482905
"101","ds","bigm","goalinfo7","1",6.83144000064974
"102","ds","bigm","goalinfo7","10",6.82981911371374
"103","ds","bigm","goalinfo7","100",6.8437054667651
"104","ds","bigm","goalinfo7","11",6.8474671412873
"105","ds","bigm","goalinfo7","12",6.8479272308011
"106","ds","bigm","goalinfo7","13",6.83901831961608
"107","ds","bigm","goalinfo7","14",6.82838088681581
"108","ds","bigm","goalinfo7","15",6.84381996838824
"109","ds","bigm","goalinfo7","16",6.8306599413147
"110","ds","bigm","goalinfo7","17",6.84819530223852
"111","ds","bigm","goalinfo7","18",6.84886834741297
"112","ds","bigm","goalinfo7","19",6.84018678196072
"113","ds","bigm","goalinfo7","2",6.85204338493035
"114","ds","bigm","goalinfo7","20",6.85239494840874
"115","ds","bigm","goalinfo7","21",6.84399019404996
"116","ds","bigm","goalinfo7","22",6.84333052147155
"117","ds","bigm","goalinfo7","23",6.83995778689956
"118","ds","bigm","goalinfo7","24",6.83739962021033
"119","ds","bigm","goalinfo7","25",6.83802339198439
"120","ds","bigm","goalinfo7","26",6.84902401343712
"121","ds","bigm","goalinfo7","27",6.82645375309152
"122","ds","bigm","goalinfo7","28",6.84961628869054
"123","ds","bigm","goalinfo7","29",6.83876706579423
"124","ds","bigm","goalinfo7","3",6.84199096526409
"125","ds","bigm","goalinfo7","30",6.84277257593306
"126","ds","bigm","goalinfo7","31",6.83935558107832
"127","ds","bigm","goalinfo7","32",6.83917969267579
"128","ds","bigm","goalinfo7","33",6.8417440378665
"129","ds","bigm","goalinfo7","34",6.84713335859487
"130","ds","bigm","goalinfo7","35",6.83880200096077
"131","ds","bigm","goalinfo7","36",6.82959925405234
"132","ds","bigm","goalinfo7","37",6.83789359272713
"133","ds","bigm","goalinfo7","38",6.85948216343579
"134","ds","bigm","goalinfo7","39",6.84125850470772
"135","ds","bigm","goalinfo7","4",6.84950465140385
"136","ds","bigm","goalinfo7","40",6.83518146749789
"137","ds","bigm","goalinfo7","41",6.84630726109125
"138","ds","bigm","goalinfo7","42",6.8318741434171
"139","ds","bigm","goalinfo7","43",6.8548950645541
"140","ds","bigm","goalinfo7","44",6.83909039230398
"141","ds","bigm","goalinfo7","45",6.84264957069747
"142","ds","bigm","goalinfo7","46",6.84413926914562
"143","ds","bigm","goalinfo7","47",6.8310354195598
"144","ds","bigm","goalinfo7","48",6.84409036142999
"145","ds","bigm","goalinfo7","49",6.8324134892609
"146","ds","bigm","goalinfo7","5",6.83706307526079
"147","ds","bigm","goalinfo7","50",6.84255372658918
"148","ds","bigm","goalinfo7","51",6.8331088959983
"149","ds","bigm","goalinfo7","52",6.85170444919089
"150","ds","bigm","goalinfo7","53",6.84638741280441
"151","ds","bigm","goalinfo7","54",6.8262691179997
"152","ds","bigm","goalinfo7","55",6.83011154369882
"153","ds","bigm","goalinfo7","56",6.84184875726576
"154","ds","bigm","goalinfo7","57",6.84088089148826
"155","ds","bigm","goalinfo7","58",6.85125770811286
"156","ds","bigm","goalinfo7","59",6.84014413544316
"157","ds","bigm","goalinfo7","6",6.84782024335253
"158","ds","bigm","goalinfo7","60",6.83088287698218
"159","ds","bigm","goalinfo7","61",6.82661279302588
