"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0110256677796319,0.000424656729304476,25.9637185019776,5.27705829773745e-135
"weaveinterspersed",0.00157762938230436,0.000424656729304488,3.71506978092219,0.000206627520337833
"weavesd",0.00563439065108545,0.000424656729304467,13.2681063604334,3.78497514572649e-39
"weavesetbased",0.00143155258764616,0.000424656729304461,3.37108183824351,0.000757640915754703
"exposurenone",0.0320701168614355,0.000300277652967684,106.801543652957,0
"targetgoalinfo7",0.00284223706176957,0.000424656729304466,6.69302254181817,2.57210054359846e-11
"targetgoalinfo8",0.00767737896494143,0.000424656729304458,18.0790234444563,1.23915206172345e-69
"targetmaxinfo",0.0312207846410685,0.00042465672930446,73.5200515771991,0
