"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0525050860423067,0.000396463571957741,132.433569578754,0
"weaveinterspersed",0.00100028864215553,0.000396463571957753,2.52302787168077,0.0116831142203944
"weavesd",0.014291120679604,0.000396463571957733,36.046491255261,5.12586801383901e-239
"weavesetbased",0.013181503824484,0.000396463571957727,33.2477048506475,2.14125330016926e-208
"exposurenone",0.0489037294023971,0.000280342080224749,174.44305672267,0
"targetgoalinfo7",0.00398665422128178,0.000396463571957732,10.0555372630977,1.93232743292939e-23
"targetgoalinfo8",0.00839246028730101,0.000396463571957725,21.1683011527624,3.563433453115e-93
"targetmaxinfo",0.0303931256108037,0.000396463571957726,76.660575549787,0
