"weave","exposure","target","refresh","replication","rmse","rmse_-2","rmse_-1","rmse_0","rmse_1","rmse_2","overexposed","sd_exposure"
"ds","bigm","goalinfo6","setlevel","1",0.414092453711248,0.478983353916608,0.386693254507635,0.347061735950952,0.371922601390958,0.468644646513108,0,0.0476755531889079
"ds","bigm","goalinfo6","setlevel","10",0.404980392493264,0.458656833826969,0.384606194752572,0.350033200777695,0.364898879554152,0.453963810578778,0,0.0479355780477444
"ds","bigm","goalinfo6","setlevel","100",0.40727543646352,0.459671810598259,0.380093847450081,0.362463537843101,0.388520692276066,0.43734283441284,0,0.0476757931042848
"ds","bigm","goalinfo6","setlevel","11",0.411031121832762,0.462020893291384,0.392462934958803,0.339270500621217,0.374638498931967,0.470939462083484,0,0.0469561067790083
"ds","bigm","goalinfo6","setlevel","12",0.408704065739898,0.456806048388758,0.397509250458763,0.35826811892299,0.378769328193458,0.443494585874545,0,0.0479728878694059
"ds","bigm","goalinfo6","setlevel","13",0.408678164986396,0.466486607166418,0.371574509933055,0.348598562327286,0.38773596593404,0.455578428648856,0,0.0488612818104755
"ds","bigm","goalinfo6","setlevel","14",0.405371702459744,0.46612561639825,0.386025744519584,0.342033829977496,0.371896534788567,0.447267198265409,0,0.0480775986881022
"ds","bigm","goalinfo6","setlevel","15",0.403688949022605,0.472592806255252,0.374189753998364,0.359767935449832,0.367272462073991,0.43259666725205,0,0.0477484879793053
"ds","bigm","goalinfo6","setlevel","16",0.414540711956494,0.481296581710498,0.384002778439146,0.353508706772507,0.381902399401354,0.457490576404925,0,0.0476335606229567
"ds","bigm","goalinfo6","setlevel","17",0.413255173464485,0.472762600114165,0.378649931360772,0.367091334984564,0.3815102600617,0.454656814131811,0,0.0481863173653366
"ds","bigm","goalinfo6","setlevel","18",0.41081011856724,0.473663914281891,0.391476845236396,0.335022007503385,0.373390872656903,0.463198288254594,0,0.0481145815092284
"ds","bigm","goalinfo6","setlevel","19",0.41453740862788,0.482229646440735,0.372213984180616,0.366143104569248,0.372031039107487,0.464381057700053,0,0.0479731388466312
"ds","bigm","goalinfo6","setlevel","2",0.408948956340918,0.471846607911977,0.3965252526259,0.366790963348488,0.35580657560258,0.441804048258289,0,0.0470706632105294
"ds","bigm","goalinfo6","setlevel","20",0.409767678999849,0.472286281319722,0.382324973723489,0.350358587386382,0.378995513065071,0.451588638065997,0,0.047990642663332
"ds","bigm","goalinfo6","setlevel","21",0.409123611759543,0.447916458032226,0.400274166908005,0.359448204342622,0.380787325279888,0.449288423762385,0,0.0475110926385392
"ds","bigm","goalinfo6","setlevel","22",0.406308986782166,0.459006471009503,0.38443706182381,0.350843689142984,0.370843953404037,0.454246229240964,0,0.0482796103950223
"ds","bigm","goalinfo6","setlevel","23",0.409026234353883,0.476280198624872,0.386189830800435,0.338664197968274,0.383145808814884,0.446130854273572,0,0.0479517801689021
"ds","bigm","goalinfo6","setlevel","24",0.414292436665415,0.476383983667121,0.384171688830388,0.349049848819905,0.379969899858285,0.466313850574882,0,0.0475998550203185
"ds","bigm","goalinfo6","setlevel","25",0.414969932367464,0.477833761966251,0.381928654598703,0.345366795415686,0.391187328327168,0.463141310344312,0,0.047563071071241
"ds","bigm","goalinfo6","setlevel","26",0.411199105440261,0.487903667187942,0.384489826133935,0.35403348945852,0.35131224174821,0.459109032647017,0,0.0480660635533416
"ds","bigm","goalinfo6","setlevel","27",0.407645807780486,0.447874407412904,0.389516089620653,0.355856554282784,0.378225658774596,0.457025948863635,0,0.0480611244448689
"ds","bigm","goalinfo6","setlevel","28",0.415101064249769,0.482986596864051,0.382592220895667,0.341078958633279,0.392406660913658,0.45997148163173,0,0.0481246372766124
"ds","bigm","goalinfo6","setlevel","29",0.406004683172196,0.480593740529225,0.376703801518718,0.351725303371832,0.36227327272099,0.443136889814273,0,0.0473032723591272
