"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.00971932387312399,0.000450624700923233,-21.5685555035292,1.97345700970844e-96
"weaveinterspersed",0.00450751252086935,0.000450624700923246,10.0028083494631,3.24266261727e-23
"weavesd",0.0108535058430726,0.000450624700923224,24.0854658451619,6.47840697822779e-118
"weavesetbased",0.00768363939899874,0.000450624700923217,17.0510834919987,1.84531889998121e-62
"exposurenone",0.055683430717863,0.000318639781792966,174.753542713769,0
"targetgoalinfo7",-8.34724540901137e-05,0.000450624700923223,-0.185237191656602,0.85305476782211
"targetgoalinfo8",0.00274833055091819,0.000450624700923214,6.09893453529638,1.19582899823239e-09
"targetmaxinfo",0.0160809682804677,0.000450624700923216,35.6859449726609,5.19675403410614e-235
