"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.413701286076059,0.000467289359899028,885.321433737443,0
"weaveinterspersed",-0.000640818365143484,0.000467289359899041,-1.37135235709611,0.170361535128959
"weavesd",-0.000588594786816789,0.000467289359899018,-1.25959381344353,0.207908019171749
"weavesetbased",0.0154898992352613,0.000467289359899011,33.1484098816394,2.48775618780949e-207
"exposurenone",-0.0135254579629128,0.000330423475160911,-40.933707740729,8.23180153222422e-295
"targetgoalinfo7",-0.0250300797921531,0.000467289359899017,-53.5644119899546,0
"targetgoalinfo8",-0.0406462971559821,0.000467289359899008,-86.9831428748275,0
"targetmaxinfo",-0.0529908510429329,0.00046728935989901,-113.400508529416,0
