"","Group.1","mean","sd","min","max","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9"
"1","maxinfo",7.64004586045869,0.937172189260006,5.81884631795899,8.86071334701488,6.11557104252209,7.07294276728338,7.13732600931019,7.17459772698787,7.33381343260824,7.44430864976855,8.59634164607471,8.8045095704396,8.82287560341006
"2","goalinfo8",7.05823794616748,0.450069455088706,5.45877955465472,7.61226238872773,6.13068347485961,6.94773199268099,6.96042237835116,6.99364713773947,7.05205768703173,7.08108319710529,7.28554507624031,7.54121610410168,7.59041616123189
"3","goalinfo7",6.49164447258065,0.222228208489014,5.72547452841155,6.75711276122145,6.03037951325665,6.41028188158708,6.46211528034375,6.50385748686615,6.52521284353597,6.54274366617795,6.64796361519107,6.65497282838583,6.73401609971708
"4","goalinfo6",5.70711434939999,0.07218653470991,5.42812669092654,5.79912849828627,5.58940798401462,5.62487224972348,5.67916008748757,5.71780121140002,5.73416078690906,5.74877510140713,5.75685094268241,5.77229089342509,5.78165054722909
