"weave","exposure","target","replication","rmse","overexposed","sd_exposure"
"ds","bigm","goalinfo6","82",0.381486832968804,0.00500834724540901,0.0570945467465104
"ds","bigm","goalinfo6","83",0.37810010791516,0.010016694490818,0.0572620530516893
"ds","bigm","goalinfo6","84",0.382873127261967,0.015025041736227,0.057029155049979
"ds","bigm","goalinfo6","85",0.372564711205913,0.00834724540901502,0.057211683244138
"ds","bigm","goalinfo6","86",0.380572532584876,0.00667779632721202,0.0571459222698265
"ds","bigm","goalinfo6","87",0.386600564052895,0.015025041736227,0.0569935627764693
"ds","bigm","goalinfo6","88",0.381363966532662,0.010016694490818,0.0568077504600967
"ds","bigm","goalinfo6","89",0.379347848268573,0.013355592654424,0.0573242760038016
"ds","bigm","goalinfo6","9",0.37942996560889,0.00834724540901502,0.0570502997330214
"ds","bigm","goalinfo6","90",0.384213602349231,0.00834724540901502,0.0568669477210255
"ds","bigm","goalinfo6","91",0.381196712151978,0.00333889816360601,0.0572369046578476
"ds","bigm","goalinfo6","92",0.380604160155047,0.01669449081803,0.0571817601127679
"ds","bigm","goalinfo6","93",0.386948810866264,0.010016694490818,0.0569972302674087
"ds","bigm","goalinfo6","94",0.382523353123859,0.00834724540901502,0.0565790734205317
"ds","bigm","goalinfo6","95",0.380987040153656,0.010016694490818,0.0572567635060358
"ds","bigm","goalinfo6","96",0.385964963556756,0.010016694490818,0.0569461105694861
"ds","bigm","goalinfo6","97",0.381229318849036,0.00667779632721202,0.0567044934364268
"ds","bigm","goalinfo6","98",0.379271606635119,0.00667779632721202,0.0569261550994812
"ds","bigm","goalinfo6","99",0.381125710043086,0.013355592654424,0.0571012382995907
"ds","bigm","goalinfo7","1",0.366069715017743,0.013355592654424,0.0634254001319805
"ds","bigm","goalinfo7","10",0.364323615255301,0.0233722871452421,0.0636227256149699
"ds","bigm","goalinfo7","100",0.358069687690104,0.0283806343906511,0.0633673452611594
"ds","bigm","goalinfo7","11",0.353924928038271,0.0300500834724541,0.0633447295347312
"ds","bigm","goalinfo7","12",0.35495853166809,0.015025041736227,0.0631667060494632
"ds","bigm","goalinfo7","13",0.358690776803559,0.0300500834724541,0.0636573633630072
"ds","bigm","goalinfo7","14",0.356593630133322,0.0317195325542571,0.0634954861901003
"ds","bigm","goalinfo7","15",0.356663816736423,0.0233722871452421,0.0632730387717671
"ds","bigm","goalinfo7","16",0.354275373758573,0.0317195325542571,0.0635362576072219
"ds","bigm","goalinfo7","17",0.354654909899429,0.0283806343906511,0.0636472089042389
"ds","bigm","goalinfo7","18",0.356874365552063,0.0300500834724541,0.0635567255963042
"ds","bigm","goalinfo7","19",0.358345690880883,0.0367278797996661,0.0636248924065204
"ds","bigm","goalinfo7","2",0.354249710088812,0.0200333889816361,0.0629572948955404
"ds","bigm","goalinfo7","20",0.353589567659173,0.0333889816360601,0.0638358700495165
"ds","bigm","goalinfo7","21",0.357366510276046,0.0300500834724541,0.0632101552208105
"ds","bigm","goalinfo7","22",0.362172371386846,0.0250417362270451,0.0635450813873419
"ds","bigm","goalinfo7","23",0.362554557583526,0.0300500834724541,0.0629888696753011
"ds","bigm","goalinfo7","24",0.358210511712386,0.013355592654424,0.0631269452348025
"ds","bigm","goalinfo7","25",0.354693142804558,0.0367278797996661,0.0636460938432241
"ds","bigm","goalinfo7","26",0.358665837645618,0.0250417362270451,0.0637030242213453
"ds","bigm","goalinfo7","27",0.366562569155103,0.0283806343906511,0.0638615641463069
"ds","bigm","goalinfo7","28",0.358545764735332,0.0233722871452421,0.0631255062746981
"ds","bigm","goalinfo7","29",0.357608858659289,0.0217028380634391,0.0633460114597203
"ds","bigm","goalinfo7","3",0.353156872015374,0.0350584307178631,0.0636094414961621
"ds","bigm","goalinfo7","30",0.350925135548438,0.0367278797996661,0.0636145498067794
"ds","bigm","goalinfo7","31",0.358823259346022,0.0300500834724541,0.0634671714363359
"ds","bigm","goalinfo7","32",0.358492851617549,0.0283806343906511,0.0630883807838542
"ds","bigm","goalinfo7","33",0.356891863363278,0.0233722871452421,0.0633576162410486
"ds","bigm","goalinfo7","34",0.355064790003413,0.01669449081803,0.0631536861225459
"ds","bigm","goalinfo7","35",0.363480827441367,0.0283806343906511,0.0633007270953356
"ds","bigm","goalinfo7","36",0.353080031405568,0.0183639398998331,0.0636119767752873
"ds","bigm","goalinfo7","37",0.359783954180163,0.0333889816360601,0.0640291591493026
"ds","bigm","goalinfo7","38",0.353721925418083,0.0250417362270451,0.0634096221238422
"ds","bigm","goalinfo7","39",0.348428704948179,0.0250417362270451,0.0633300700288709
"ds","bigm","goalinfo7","4",0.356610238159812,0.0250417362270451,0.0635237651573123
"ds","bigm","goalinfo7","40",0.353991238210112,0.0283806343906511,0.0636936436764147
"ds","bigm","goalinfo7","41",0.357653746998719,0.0183639398998331,0.0628077204100407
"ds","bigm","goalinfo7","42",0.363132467300175,0.0283806343906511,0.0631023459482774
"ds","bigm","goalinfo7","43",0.351864936714309,0.0300500834724541,0.0635128194783472
"ds","bigm","goalinfo7","44",0.358485894170568,0.013355592654424,0.0631988387659672
"ds","bigm","goalinfo7","45",0.361476351108787,0.010016694490818,0.0632479929008194
"ds","bigm","goalinfo7","46",0.351426811304791,0.0200333889816361,0.063270903275517
"ds","bigm","goalinfo7","47",0.365125477279296,0.013355592654424,0.0636072215980773
"ds","bigm","goalinfo7","48",0.357360998599179,0.0233722871452421,0.0631823245145801
"ds","bigm","goalinfo7","49",0.358008671646205,0.0217028380634391,0.0632417148112678
"ds","bigm","goalinfo7","5",0.354882889562484,0.013355592654424,0.0627668583381999
"ds","bigm","goalinfo7","50",0.357347981056398,0.015025041736227,0.0631993404454347
"ds","bigm","goalinfo7","51",0.359785714201057,0.0183639398998331,0.0635026282127645
"ds","bigm","goalinfo7","52",0.355784834992595,0.0200333889816361,0.0635153354454759
"ds","bigm","goalinfo7","53",0.359591276209111,0.0183639398998331,0.0632176066979568
"ds","bigm","goalinfo7","54",0.362285604441463,0.0217028380634391,0.0634201953736579
"ds","bigm","goalinfo7","55",0.359559276613096,0.0233722871452421,0.0633757925465117
"ds","bigm","goalinfo7","56",0.359341271806568,0.01669449081803,0.0633912529227749
"ds","bigm","goalinfo7","57",0.360512640275532,0.0200333889816361,0.0634575842113609
"ds","bigm","goalinfo7","58",0.355690911032177,0.0333889816360601,0.0634276538127453
"ds","bigm","goalinfo7","59",0.356639433229276,0.0233722871452421,0.0632253873798064
"ds","bigm","goalinfo7","6",0.357816961356414,0.011686143572621,0.063565450776373
"ds","bigm","goalinfo7","60",0.357812523373439,0.01669449081803,0.0634951891151189
"ds","bigm","goalinfo7","61",0.363465661501051,0.0250417362270451,0.0632213321071839
"ds","bigm","goalinfo7","62",0.359854625084499,0.011686143572621,0.0629555418114886
"ds","bigm","goalinfo7","63",0.363792937517982,0.0250417362270451,0.0635259005769237
"ds","bigm","goalinfo7","64",0.353776185940853,0.0250417362270451,0.0633515211187204
"ds","bigm","goalinfo7","65",0.363036017589363,0.0283806343906511,0.0633406322693664
"ds","bigm","goalinfo7","66",0.355029515297814,0.0317195325542571,0.0634107223556161
"ds","bigm","goalinfo7","67",0.358212724265846,0.0283806343906511,0.0633883584784894
"ds","bigm","goalinfo7","68",0.356045227182835,0.0333889816360601,0.0633707916531318
"ds","bigm","goalinfo7","69",0.356961180186362,0.0267111853088481,0.0630256727748667
"ds","bigm","goalinfo7","7",0.362086610857558,0.0350584307178631,0.0635487676002232
"ds","bigm","goalinfo7","70",0.351297740483071,0.0283806343906511,0.0634479723443615
"ds","bigm","goalinfo7","71",0.359071617519632,0.00667779632721202,0.0628312086458246
"ds","bigm","goalinfo7","72",0.358386053817111,0.0217028380634391,0.0634657823481206
"ds","bigm","goalinfo7","73",0.351778243187676,0.015025041736227,0.0631539911588582
"ds","bigm","goalinfo7","74",0.361282113174512,0.01669449081803,0.0633239257775587
"ds","bigm","goalinfo7","75",0.352498160361266,0.0250417362270451,0.0634821975726871
"ds","bigm","goalinfo7","76",0.358777029680257,0.0250417362270451,0.0632650757527048
"ds","bigm","goalinfo7","77",0.355511608612436,0.0217028380634391,0.0631668320629722
"ds","bigm","goalinfo7","78",0.356584775660066,0.01669449081803,0.0632717416249651
"ds","bigm","goalinfo7","79",0.355633058072024,0.0233722871452421,0.0635218665952756
"ds","bigm","goalinfo7","8",0.35065547958031,0.0333889816360601,0.0635445024367064
"ds","bigm","goalinfo7","80",0.364768929740262,0.0350584307178631,0.0631912802817047
"ds","bigm","goalinfo7","81",0.358152971387653,0.0283806343906511,0.0634254823922092
"ds","bigm","goalinfo7","82",0.356582461545984,0.0200333889816361,0.0636735527123483
"ds","bigm","goalinfo7","83",0.356842565228283,0.0267111853088481,0.0635225973851617
"ds","bigm","goalinfo7","84",0.361432747691827,0.0300500834724541,0.063267484217087
"ds","bigm","goalinfo7","85",0.35292177543408,0.010016694490818,0.0632297089794101
"ds","bigm","goalinfo7","86",0.355911763880256,0.0217028380634391,0.0636470270907221
"ds","bigm","goalinfo7","87",0.358960571013085,0.0217028380634391,0.0634370388940165
"ds","bigm","goalinfo7","88",0.356639418137788,0.0200333889816361,0.0631778398024379
"ds","bigm","goalinfo7","89",0.361685124894477,0.0283806343906511,0.0636639261718456
"ds","bigm","goalinfo7","9",0.360522318196541,0.0333889816360601,0.0636677336778035
"ds","bigm","goalinfo7","90",0.360547654753617,0.0300500834724541,0.0632195249778387
"ds","bigm","goalinfo7","91",0.358077348780367,0.0267111853088481,0.06337284673243
"ds","bigm","goalinfo7","92",0.354137691773753,0.0233722871452421,0.0631181159877917
"ds","bigm","goalinfo7","93",0.357968407708203,0.0300500834724541,0.0633382255304011
"ds","bigm","goalinfo7","94",0.360478352345803,0.0233722871452421,0.0634545346727135
"ds","bigm","goalinfo7","95",0.354492363946576,0.0317195325542571,0.0633413577580842
"ds","bigm","goalinfo7","96",0.357180743769056,0.0317195325542571,0.0631273489430486
"ds","bigm","goalinfo7","97",0.356650534166093,0.0350584307178631,0.0633988972923698
"ds","bigm","goalinfo7","98",0.362484512663617,0.0233722871452421,0.0634254686821785
"ds","bigm","goalinfo7","99",0.35749416909385,0.0367278797996661,0.0635949818488062
"ds","bigm","goalinfo8","1",0.344268166006179,0.0183639398998331,0.0685891796313663
"ds","bigm","goalinfo8","10",0.340583129490072,0.0183639398998331,0.0688990059485463
"ds","bigm","goalinfo8","100",0.338843870027041,0.0183639398998331,0.0689921306449651
"ds","bigm","goalinfo8","11",0.332533908271541,0.0250417362270451,0.0688764701313495
"ds","bigm","goalinfo8","12",0.339623732589715,0.0200333889816361,0.0686529596852214
"ds","bigm","goalinfo8","13",0.34416583711622,0.0183639398998331,0.0689314659689675
"ds","bigm","goalinfo8","14",0.340573584303735,0.0217028380634391,0.0689298395949396
"ds","bigm","goalinfo8","15",0.341311133850693,0.0183639398998331,0.0686445800618548
"ds","bigm","goalinfo8","16",0.34009690596153,0.0250417362270451,0.0689845873239548
"ds","bigm","goalinfo8","17",0.342086669068757,0.0217028380634391,0.0690889309409065
"ds","bigm","goalinfo8","18",0.34113324527074,0.0267111853088481,0.0690671553668146
"ds","bigm","goalinfo8","19",0.33605649743996,0.0283806343906511,0.0690725466421181
"ds","bigm","goalinfo8","2",0.338552293296882,0.0217028380634391,0.0687740586834027
"ds","bigm","goalinfo8","20",0.336730596163699,0.0317195325542571,0.0692085093746549
"ds","bigm","goalinfo8","21",0.342417790691541,0.0217028380634391,0.0690589528871896
"ds","bigm","goalinfo8","22",0.331719733994616,0.0233722871452421,0.0688529991766096
"ds","bigm","goalinfo8","23",0.340670237049078,0.0283806343906511,0.0689348612407134
"ds","bigm","goalinfo8","24",0.341022157906266,0.0233722871452421,0.0690337873068586
"ds","bigm","goalinfo8","25",0.340280638729806,0.0283806343906511,0.0689241993896229
"ds","bigm","goalinfo8","26",0.33299126842802,0.0317195325542571,0.0690198593200829
"ds","bigm","goalinfo8","27",0.344166723546434,0.01669449081803,0.0689883096390371
"ds","bigm","goalinfo8","28",0.333660765191122,0.0200333889816361,0.0690349858758472
"ds","bigm","goalinfo8","29",0.344080015003576,0.0200333889816361,0.0683290688467241
"ds","bigm","goalinfo8","3",0.342305665845337,0.0233722871452421,0.0692041851439174
"ds","bigm","goalinfo8","30",0.334477376568077,0.0283806343906511,0.0689347331569038
"ds","bigm","goalinfo8","31",0.33320213174803,0.0217028380634391,0.0688145953929286
"ds","bigm","goalinfo8","32",0.344555090226484,0.0200333889816361,0.0687430092082984
"ds","bigm","goalinfo8","33",0.333936006831236,0.0217028380634391,0.068907501210238
"ds","bigm","goalinfo8","34",0.342864819430119,0.0217028380634391,0.0690234527829182
"ds","bigm","goalinfo8","35",0.337937864303907,0.01669449081803,0.0686843858541568
"ds","bigm","goalinfo8","36",0.335608033190398,0.010016694490818,0.0688433642891673
"ds","bigm","goalinfo8","37",0.347179844638968,0.0250417362270451,0.0688977720050003
"ds","bigm","goalinfo8","38",0.336227426249371,0.0233722871452421,0.0689053296837401
"ds","bigm","goalinfo8","39",0.337541861206034,0.0233722871452421,0.068956708662227
"ds","bigm","goalinfo8","4",0.33873040880609,0.0250417362270451,0.0690988491012638
"ds","bigm","goalinfo8","40",0.343211106593114,0.0267111853088481,0.0688050649820645
"ds","bigm","goalinfo8","41",0.33485030420897,0.0200333889816361,0.0689881835936222
"ds","bigm","goalinfo8","42",0.337936308519202,0.01669449081803,0.0689660988209722
"ds","bigm","goalinfo8","43",0.338022163076966,0.0200333889816361,0.0689800900262454
"ds","bigm","goalinfo8","44",0.336276681905255,0.013355592654424,0.0690010846017381
"ds","bigm","goalinfo8","45",0.339800087756022,0.013355592654424,0.0688280236052645
"ds","bigm","goalinfo8","46",0.339306984504268,0.0233722871452421,0.068810748003235
"ds","bigm","goalinfo8","47",0.33449687706675,0.0183639398998331,0.0688740674554292
"ds","bigm","goalinfo8","48",0.338504866925426,0.0183639398998331,0.068730696242524
"ds","bigm","goalinfo8","49",0.336834679096034,0.0283806343906511,0.0689411593714555
"ds","bigm","goalinfo8","5",0.341600875114602,0.0250417362270451,0.0685639869878329
"ds","bigm","goalinfo8","50",0.34668360207737,0.0267111853088481,0.0689566427005933
"ds","bigm","goalinfo8","51",0.338086016607947,0.0283806343906511,0.0687512036547391
"ds","bigm","goalinfo8","52",0.336697471661292,0.0267111853088481,0.0692119219820085
"ds","bigm","goalinfo8","53",0.33357099586495,0.0283806343906511,0.0688097457802549
"ds","bigm","goalinfo8","54",0.343657945415447,0.0250417362270451,0.0689400358216651
"ds","bigm","goalinfo8","55",0.340593672849906,0.015025041736227,0.0687496051235519
"ds","bigm","goalinfo8","56",0.343314178489126,0.01669449081803,0.0685913211840102
"ds","bigm","goalinfo8","57",0.347314051731903,0.0200333889816361,0.0689126409611689
"ds","bigm","goalinfo8","58",0.338797511901334,0.0200333889816361,0.0688496542736964
"ds","bigm","goalinfo8","59",0.33308908347073,0.0183639398998331,0.0687504126637332
"ds","bigm","goalinfo8","6",0.336738787332666,0.0183639398998331,0.0686329521271509
"ds","bigm","goalinfo8","60",0.336946030092369,0.0300500834724541,0.0688602752122236
"ds","bigm","goalinfo8","61",0.350350575439836,0.011686143572621,0.0688241497532639
"ds","bigm","goalinfo8","62",0.341321799558263,0.0183639398998331,0.0691048012500931
"ds","bigm","goalinfo8","63",0.347498669763928,0.0267111853088481,0.0691718695406448
"ds","bigm","goalinfo8","64",0.334798482539644,0.0300500834724541,0.0689943372497865
"ds","bigm","goalinfo8","65",0.334722688411458,0.0217028380634391,0.0688278545053881
"ds","bigm","goalinfo8","66",0.330074740432263,0.0267111853088481,0.0688083459487498
"ds","bigm","goalinfo8","67",0.341424100686163,0.0183639398998331,0.0687399664478606
"ds","bigm","goalinfo8","68",0.337845485649819,0.0217028380634391,0.068901200973671
"ds","bigm","goalinfo8","69",0.338172758051777,0.0217028380634391,0.0689698803242058
"ds","bigm","goalinfo8","7",0.3331150850674,0.0333889816360601,0.0690128055876523
"ds","bigm","goalinfo8","70",0.345167556528929,0.0217028380634391,0.0693466816182797
"ds","bigm","goalinfo8","71",0.342642702951255,0.013355592654424,0.0684229897699525
"ds","bigm","goalinfo8","72",0.333376895145254,0.015025041736227,0.0689573110442274
"ds","bigm","goalinfo8","73",0.338735862199149,0.0267111853088481,0.0690875958255315
"ds","bigm","goalinfo8","74",0.338376303501431,0.0250417362270451,0.0687504146096017
"ds","bigm","goalinfo8","75",0.33477805144101,0.0217028380634391,0.0688272704273319
"ds","bigm","goalinfo8","76",0.339311029893678,0.0200333889816361,0.0690720924625327
"ds","bigm","goalinfo8","77",0.341996318478663,0.0200333889816361,0.0690054196211122
"ds","bigm","goalinfo8","78",0.340045234279764,0.0217028380634391,0.069074037957068
"ds","bigm","goalinfo8","79",0.341752887072211,0.0300500834724541,0.0691411457629987
"ds","bigm","goalinfo8","8",0.339801677514232,0.0300500834724541,0.068786082855552
"ds","bigm","goalinfo8","80",0.334002956808592,0.0317195325542571,0.0687232001444135
"ds","bigm","goalinfo8","81",0.341016931990204,0.0250417362270451,0.0690605810634273
"ds","bigm","goalinfo8","82",0.337694203809794,0.0200333889816361,0.0687771398103843
"ds","bigm","goalinfo8","83",0.337072756890754,0.01669449081803,0.0689559995713579
"ds","bigm","goalinfo8","84",0.343850481891332,0.0300500834724541,0.0690029138347634
"ds","bigm","goalinfo8","85",0.338466964383247,0.0200333889816361,0.069000269331757
"ds","bigm","goalinfo8","86",0.338281056847609,0.0183639398998331,0.068754865639647
"ds","bigm","goalinfo8","87",0.333856051825282,0.0200333889816361,0.0688967118249955
"ds","bigm","goalinfo8","88",0.339853061317752,0.0200333889816361,0.0688226578830629
"ds","bigm","goalinfo8","89",0.340682797847051,0.0217028380634391,0.0691237181097285
"ds","bigm","goalinfo8","9",0.345141330541103,0.0267111853088481,0.0689600609821683
"ds","bigm","goalinfo8","90",0.340023647671415,0.0317195325542571,0.0691994478970728
"ds","bigm","goalinfo8","91",0.340465522265784,0.0183639398998331,0.068769673091311
"ds","bigm","goalinfo8","92",0.337768354366877,0.0217028380634391,0.0690550706797416
"ds","bigm","goalinfo8","93",0.342648457128332,0.0317195325542571,0.0689312515149227
"ds","bigm","goalinfo8","94",0.338719476769453,0.0200333889816361,0.0686897925651084
"ds","bigm","goalinfo8","95",0.343236922959288,0.0300500834724541,0.069156207100766
"ds","bigm","goalinfo8","96",0.344047542807219,0.0233722871452421,0.0691734118984629
"ds","bigm","goalinfo8","97",0.334533641868882,0.0233722871452421,0.0692007537895769
"ds","bigm","goalinfo8","98",0.336605870812327,0.0217028380634391,0.0688251177507663
"ds","bigm","goalinfo8","99",0.341001762995095,0.0200333889816361,0.0686631249389615
"ds","bigm","maxinfo","1",0.326217451545108,0.0350584307178631,0.0816613808011064
"ds","bigm","maxinfo","10",0.330493483414471,0.0367278797996661,0.0815447775547296
"ds","bigm","maxinfo","100",0.322937963197629,0.0300500834724541,0.0814754055918103
"ds","bigm","maxinfo","11",0.321605106013264,0.0517529215358932,0.0821558188598792
"ds","bigm","maxinfo","12",0.32818800721472,0.0350584307178631,0.081654121527966
"ds","bigm","maxinfo","13",0.326362080802611,0.0434056761268781,0.0819899576440742
"ds","bigm","maxinfo","14",0.325805722419755,0.0500834724540902,0.0820227016700845
"ds","bigm","maxinfo","15",0.328595097493779,0.0434056761268781,0.0817945937241811
"ds","bigm","maxinfo","16",0.331427824224304,0.0434056761268781,0.0817020157353102
"ds","bigm","maxinfo","17",0.331240576524294,0.0467445742904841,0.0818744171148012
"ds","bigm","maxinfo","18",0.327241109036469,0.0417362270450751,0.0817071439258766
"ds","bigm","maxinfo","19",0.327458172637631,0.0434056761268781,0.0818409975106647
"ds","bigm","maxinfo","2",0.328710324245324,0.0367278797996661,0.0820472592664696
"ds","bigm","maxinfo","20",0.328515911607807,0.0500834724540902,0.0820648742718813
"ds","bigm","maxinfo","21",0.328970234081597,0.0350584307178631,0.0816973146111777
"ds","bigm","maxinfo","22",0.327218714837589,0.0417362270450751,0.0817998682074612
"ds","bigm","maxinfo","23",0.327629190311187,0.0484140233722871,0.0821244864919555
"ds","bigm","maxinfo","24",0.324097319031987,0.0367278797996661,0.0818176533842984
"ds","bigm","maxinfo","25",0.321029639509098,0.0467445742904841,0.0818871258617729
"ds","bigm","maxinfo","26",0.328719981441963,0.0450751252086811,0.0818172209017297
"ds","bigm","maxinfo","27",0.328487464585181,0.0367278797996661,0.0818278099358146
"ds","bigm","maxinfo","28",0.323680341076859,0.0350584307178631,0.0819026061874497
"ds","bigm","maxinfo","29",0.334602787976272,0.0400667779632721,0.081925988158508
"ds","bigm","maxinfo","3",0.327212718340931,0.0233722871452421,0.081445702067367
"ds","bigm","maxinfo","30",0.322739185840011,0.0434056761268781,0.0818894522221654
"ds","bigm","maxinfo","31",0.328804723762217,0.0350584307178631,0.081621730359333
